Ministerium,Kampagne,Startdatum,Enddatum,Angegebene Kosten,Netto?,Nettokosten,Link
BMLUK,Klimaticket �sterreich,01.02.2024,28.02.2025," � 1,500,000.00 ",nein," � 1,190,476.19 ",https://www.bmluk.gv.at/dam/jcr:49856a95-670e-48eb-ba7c-fe966e5cd268/Kampagnenbericht_Klimaticket.pdf
BMLUK,Klimabonus,19.06.2024,29.09.2024," � 274,893.67 ",nein," � 218,169.58 ",https://www.bmluk.gv.at/dam/jcr:6d3bb336-3047-4f35-b1f9-2974890ba115/Kampagnenbericht_Klimabonus.pdf
BMLUK,Sanierungsbonus,01.07.2024,31.08.2024," � 2,814,838.00 ",nein," � 2,233,998.41 ",https://www.bmluk.gv.at/dam/jcr:97f6bb85-90c3-4aa6-a25d-3737c48de464/Kampagnenbericht_Sanierungsbonus_2024_2-0_v2%20(1).pdf
BKA,Informationsoffensive Gewalt gegen Frauen,14.03.2024,29.03.2024," � 201,067.49 ",ja," � 201,067.49 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/informationsoffensive-gewalt-gegen-frauen.html
BKA,Kampagne Europa-Staatspreis 2024,08.01.2024,19.01.2024," � 157,365.46 ",ja," � 157,365.46 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/kampagne-europa-staatspreis-2024.html
BKA,Kinderschutz- und Kinderrechte-Kampagne #neinzugewalt,01.04.2024,31.12.2024," � 2,000,000.00 ",ja," � 2,000,000.00 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/kinderschutz-und-kinderrechte-kampagne-neinzugewalt.html
BKA,Kampagne zur Wahl zum Europ�ischen Parlament 2024,01.01.2024,09.06.2024," � 725,000.00 ",ja," � 725,000.00 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/kampagne-zur-wahl-zum-europaeischen-parlament-2024.html
BKA,Kampagne gegen Antisemitismus,02.08.2024,16.08.2024," � 300,000.00 ",ja," � 300,000.00 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/kampagne-gegen-antisemitismus.html
BKA,Kampagne Gewalt gegen Frauen,25.11.2024,10.12.2024," � 260,000.00 ",ja," � 260,000.00 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/kampagne-gewalt-gegen-frauen.html
BKA,"Recruiting- und Imagekampagne ""�D: �ffentlicher Dienst. Ein Job � viele Vorteile""",04.03.2024,17.05.2024," � 1,700,000.00 ",ja," � 1,700,000.00 ",https://www.bundeskanzleramt.gv.at/service/publikationen-aus-dem-bundeskanzleramt/veroeffentlichungen-gemaess-paragraf-2-abs-1-b-z-1-medkf-tg/medientransparenz-kampagne-oed.html
