Bucket,Synonym,Start of Period,End of Period
Chancellor's Office,Bundeskanzleramt,1/1/20,12/31/25
Chancellor's Office,BKA,1/1/20,12/31/25
Chancellor's Office,Kanzleramt,1/1/20,12/31/25
Chancellor's Office,Ballhausplatz,1/1/20,12/31/25
Chancellor's Office,Bundeskanzlerin,1/1/20,12/31/25
Chancellor's Office,Bundeskanzler,1/1/20,12/31/25
Chancellor's Office,Kanzlerin,1/1/20,12/31/25
Chancellor's Office,Kanzler,1/1/20,12/31/25
Chancellor's Office,Regierungschefin,1/1/20,12/31/25
Chancellor's Office,Regierungschef,1/1/20,12/31/25
Chancellor's Office,Kanzleramtsministerin,1/1/20,12/31/25
Chancellor's Office,Kanzleramtsminister,1/1/20,12/31/25
Chancellor's Office,Frauenministerin,1/1/20,12/31/25
Chancellor's Office,Frauenminister,1/1/20,12/31/25
Chancellor's Office,Frauenressort,1/1/20,12/31/25
Finance,Bundesministerium für Finanzen,1/1/20,12/31/25
Finance,BMF,1/1/20,12/31/25
Finance,Finanzministerium,1/1/20,12/31/25
Finance,Finanzressort,1/1/20,12/31/25
Finance,Finanzministerin,1/1/20,12/31/25
Finance,Finanzminister,1/1/20,12/31/25
Finance,Finanzstaatssekretärin,1/1/20,12/31/25
Finance,Finanzstaatssekretär,1/1/20,12/31/25
Defense,Bundesministerium für Landesverteidigung,1/1/20,12/31/25
Defense,BMLV,1/1/20,12/31/25
Defense,Verteidigungsministerium,1/1/20,12/31/25
Defense,Landesverteidigungsministerium,1/1/20,12/31/25
Defense,Verteidigungsressort,1/1/20,12/31/25
Defense,Heeresministerium,1/1/20,12/31/25
Defense,Verteidigungsministerin,1/1/20,12/31/25
Defense,Verteidigungsminister,1/1/20,12/31/25
Defense,Heeresministerin,1/1/20,12/31/25
Defense,Heeresminister,1/1/20,12/31/25
Interior,Bundesministerium für Inneres,1/1/20,12/31/25
Interior,BMI,1/1/20,12/31/25
Interior,Innenministerium,1/1/20,12/31/25
Interior,Innenressort,1/1/20,12/31/25
Interior,Innenministerin,1/1/20,12/31/25
Interior,Innenminister,1/1/20,12/31/25
Justice,Bundesministerium für Justiz,1/1/20,12/31/25
Justice,BMJ,1/1/20,12/31/25
Justice,Justizministerium,1/1/20,12/31/25
Justice,Justizressort,1/1/20,12/31/25
Justice,Justizministerin,1/1/20,12/31/25
Justice,Justizminister,1/1/20,12/31/25
Foreign Affairs,Bundesministerium für europäische und internationale Angelegenheiten,1/1/20,12/31/25
Foreign Affairs,BMEIA,1/1/20,12/31/25
Foreign Affairs,Außenministerium,1/1/20,12/31/25
Foreign Affairs,Außenressort,1/1/20,12/31/25
Foreign Affairs,Außenamt,1/1/20,12/31/25
Foreign Affairs,Europaministerium,1/1/20,12/31/25
Foreign Affairs,Außenministerin,1/1/20,12/31/25
Foreign Affairs,Außenminister,1/1/20,12/31/25
Foreign Affairs,Europaministerin,1/1/20,12/31/25
Foreign Affairs,Europaminister,1/1/20,12/31/25
Health & Social Affairs,"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",1/1/20,12/31/25
Health & Social Affairs,"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz",1/1/20,12/31/25
Health & Social Affairs,"Bundesministerium für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",1/1/20,12/31/25
Health & Social Affairs,BMSGPK,1/1/20,12/31/25
Health & Social Affairs,BMASGK,1/1/20,12/31/25
Health & Social Affairs,BMAFJ,1/1/20,12/31/25
Health & Social Affairs,Gesundheitsministerium,1/1/20,12/31/25
Health & Social Affairs,Sozialministerium,1/1/20,12/31/25
Health & Social Affairs,Pflegeministerium,1/1/20,12/31/25
Health & Social Affairs,Konsumentenschutzministerium,1/1/20,12/31/25
Health & Social Affairs,Familienministerium,1/1/20,12/31/25
