jahr;foerderungswerber;foerderungsart;mediumtyp;zeitung;gesetzlichegrundlage;status;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";ablehnungsgrund
2009;"Die Presse Verlags-Gesellschaft m.b.H. & Co KG";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;"Die Presse";"Abschnitt III PresseFG 2004";abgeschlossen;"1180841,80";"590420,90";"590420,90";
2009;"Kärntner Druck- und Verlagsges.m.b.H.";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;"Neue Kärntner Tageszeitung";"Abschnitt III PresseFG 2004";abgeschlossen;"1139264,80";"569632,40";"569632,40";
2009;"OÖ Media Data Vertriebs- und Verlagsges.m.b.H.";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;"Neues Volksblatt";"Abschnitt III PresseFG 2004";abgeschlossen;"892001,50";"446000,75";"446000,75";
2009;"Salzburger Volkszeitung GmbH & Co KG";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;"SVZ Salzburger Volkszeitung";"Abschnitt III PresseFG 2004";abgeschlossen;"769595,10";"384797,55";"384797,55";
2009;"Standard Verlagsgesellschaft m.b.H.";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;"Der Standard";"Abschnitt III PresseFG 2004";abgeschlossen;"1180841,80";"590420,90";"590420,90";
2009;"Verlagsgruppe NEWS Gesellschaft m.b.H.";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;profil;"Abschnitt III PresseFG 2004";abgelehnt;",00";",00";",00";
2009;"Verlagsgruppe NEWS Gesellschaft m.b.H.";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;Format;"Abschnitt III PresseFG 2004";abgelehnt;",00";",00";",00";
2009;"WirtschaftsBlatt Verlag AG";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;WirtschaftsBlatt;"Abschnitt III PresseFG 2004";abgeschlossen;"662189,30";"331094,65";"331094,65";
2009;"Zeitungs- und Verlagsges.m.b.H.";"Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen";;"Neue Vorarlberger Tageszeitung";"Abschnitt III PresseFG 2004";abgeschlossen;"820265,70";"410132,85";"410132,85";
2009;"Friedrich Austerlitz-Institut für JournalistInnenausbildung";"Förderung von Vereinigungen der Journalistenausbildung";;"Friedrich Austerlitz-Institut für JournalistInnenausbildung";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"8856,30";"4428,15";"4428,15";
2009;"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenförderung";"Förderung von Vereinigungen der Journalistenausbildung";;"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenförderung";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"23537,80";"11768,90";"11768,90";
2009;"GESPU - Gesellschaft für Publizistik und Medienforschung";"Förderung von Vereinigungen der Journalistenausbildung";;"GESPU - Gesellschaft für Publizistik und Medienforschung";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"27657,90";"13828,95";"13828,95";
2009;"Katholische Medien Akademie";"Förderung von Vereinigungen der Journalistenausbildung";;"Katholische Medien Akademie";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"65052,00";"32526,00";"32526,00";
2009;"M-MEDIA, Verein zur Förderung interkultureller Medienarbeit";"Förderung von Vereinigungen der Journalistenausbildung";;"M-MEDIA, Verein zur Förderung interkultureller Medienarbeit";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"5000,00";"2500,00";"2500,00";
2009;"OÖ Journalistenakademie";"Förderung von Vereinigungen der Journalistenausbildung";;"OÖ Journalistenakademie";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"65052,00";"32526,00";"32526,00";
2009;"Österreichische Medienakademie - Kuratorium für Journalistenausbildung";"Förderung von Vereinigungen der Journalistenausbildung";;"Österreichische Medienakademie - Kuratorium für Journalistenausbildung";"§ 10 Abs.2 PresseFG 2004";abgeschlossen;"455364,00";"227682,00";"227682,00";
2009;"Klub der Wirtschaftspublizisten";"Förderung von Vereinigungen, deren Hauptaufgabe die Veranstaltung oder Durchführung von Pressekonferenzen ist";;"Klub der Wirtschaftspublizisten";"§ 11 Abs.4 PresseFG 2004";abgeschlossen;"3002,40";"1501,20";"1501,20";
2009;"Oberösterreichischer Presseclub";"Förderung von Vereinigungen, deren Hauptaufgabe die Veranstaltung oder Durchführung von Pressekonferenzen ist";;"Oberösterreichischer Presseclub";"§ 11 Abs.4 PresseFG 2004";abgeschlossen;"9507,60";"4753,80";"4753,80";
2009;"Presseclub Carinthia";"Förderung von Vereinigungen, deren Hauptaufgabe die Veranstaltung oder Durchführung von Pressekonferenzen ist";;"Presseclub Carinthia";"§ 11 Abs.4 PresseFG 2004";abgeschlossen;"3002,40";"1501,20";"1501,20";
2009;"Presseclub Concordia";"Förderung von Vereinigungen, deren Hauptaufgabe die Veranstaltung oder Durchführung von Pressekonferenzen ist";;"Presseclub Concordia";"§ 11 Abs.4 PresseFG 2004";abgeschlossen;"25020,00";"12510,00";"12510,00";
2009;"Steirischer Presseclub";"Förderung von Vereinigungen, deren Hauptaufgabe die Veranstaltung oder Durchführung von Pressekonferenzen ist";;"Steirischer Presseclub";"§ 11 Abs.4 PresseFG 2004";abgeschlossen;"7506,00";"3753,00";"3753,00";
2009;"Verband der Agrarjournalisten und -publizisten in Österreich (VAÖ)";"Förderung von Vereinigungen, deren Hauptaufgabe die Veranstaltung oder Durchführung von Pressekonferenzen ist";;"Verband der Agrarjournalisten und -publizisten in Österreich (VAÖ)";"§ 11 Abs.4 PresseFG 2004";abgeschlossen;"1000,80";"500,40";"500,40";
