jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2024/1";"Russmedia Verlag GmbH";"Ausbildung von Nachwuchsjournalistinnen und Nachwuchsjournalisten";"Vorarlberger Nachrichten";Tageszeitung;"4. Abschnitt: § 11 QJF-G";"8835,65";;;;;;;;;;;;abgeschlossen;
"2024/1";"RegionalMedien Oberösterreich GmbH";"Berufsbegleitende Aus-und Fortbildung";"Bezirksrundschau Oberösterreich";Wochenzeitung;"4. Abschnitt: § 10 QJF-G";"2375,00";;;;;;;;;;;;abgeschlossen;
"2024/1";"Forum Journalismus und Medien Wien - Verein Wiener Medienfortbildung";"Förderung von Einrichtungen der Aus- und Fortbildung";"Forum Journalismus und Medien Wien - Verein Wiener Medienfortbildung";;"4. Abschnitt: § 9 QJF-G";"105110,00";;;;;;;;;;;;abgeschlossen;
"2024/1";"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung";"Förderung von Einrichtungen der Aus- und Fortbildung";"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung";;"4. Abschnitt: § 9 QJF-G";"11468,79";;;;;;;;;;;;abgeschlossen;
"2024/1";"Friedrich Austerlitz-Institut für JournalistInnenausbildung";"Förderung von Einrichtungen der Aus- und Fortbildung";"Friedrich-Austerlitz-Institut";;"4. Abschnitt: § 9 QJF-G";"9849,67";;;;;;;;;;;;abgeschlossen;
"2024/1";"Österreichische Gesellschaft für Publizistik und Medienforschung";"Förderung von Einrichtungen der Aus- und Fortbildung";GESPU;;"4. Abschnitt: § 9 QJF-G";"2691,62";;;;;;;;;;;;abgeschlossen;
"2024/1";"Katholische Medien Akademie (KMA)";"Förderung von Einrichtungen der Aus- und Fortbildung";"Katholische Medien Akademie";;"4. Abschnitt: § 9 QJF-G";"20631,62";;;;;;;;;;;;abgeschlossen;
"2024/1";"OÖ. Journalismusakademie";"Förderung von Einrichtungen der Aus- und Fortbildung";"OÖ. Journalismusakademie";;"4. Abschnitt: § 9 QJF-G";"26058,82";;;;;;;;;;;;abgeschlossen;
"2024/1";"Tiroler Journalismusakademie";"Förderung von Einrichtungen der Aus- und Fortbildung";"Tiroler Journalismusakademie";;"4. Abschnitt: § 9 QJF-G";"16779,49";;;;;;;;;;;;abgeschlossen;
"2024/1";"Österreichische Medienakademie - Ausbildungsinstitut für Journalistinnen und Journalisten";"Förderung von Einrichtungen der Aus- und Fortbildung";"Österreichische Medienakademie - Ausbildungsinstitut für Journalistinnen und Journalisten";;"4. Abschnitt: § 9 QJF-G";"99010,00";;;;;;;;;;;;abgeschlossen;
"2024/1";"""Die Presse"" Verlags-Gesellschaft m.b.H. & Co KG";"Inhaltsvielfalts-Förderung";"""Die Presse"" Unabhängige Tageszeitung für Österreich";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"70015,00";;;;;;;;;;;"70015,00";abgeschlossen;
"2024/1";"Badener Zeitungsverlag GmbH";"Inhaltsvielfalts-Förderung";"Badener Zeitung";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"6000,00";;;;;;;;;;"6000,00";;abgeschlossen;
"2024/1";"Bezirksblätter Burgenland Verlag GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Burgenland";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"18800,00";;;;;;;;;;"18800,00";;abgeschlossen;
"2024/1";"RegionalMedien Niederösterreich GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Niederösterreich";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"56487,00";;;;;;;;;;"56487,00";;abgeschlossen;
"2024/1";"RegionalMedien Salzburg GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Salzburg";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"27712,00";;;;;;;;;;"27712,00";;abgeschlossen;
"2024/1";"RegionalMedien Tirol GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Tirol";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"40320,00";;;;;;;;;;"40320,00";;abgeschlossen;
"2024/1";"RegionalMedien Inntal GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Tirol (Kitzbühel, Kufstein, Schwaz)";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"10112,00";;;;;;;;;;"10112,00";;abgeschlossen;
"2024/1";"RegionalMedien Oberösterreich GmbH";"Inhaltsvielfalts-Förderung";"Bezirksrundschau Oberösterreich";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"67431,00";;;;;;;;;;"67431,00";;abgeschlossen;
"2024/1";"bz Wiener Bezirkszeitung GmbH";"Inhaltsvielfalts-Förderung";"Bezirkszeitung Wien";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"36608,00";;;;;;;;;;"36608,00";;abgeschlossen;
"2024/1";"BVZ Burgenländische Volkszeitung GmbH";"Inhaltsvielfalts-Förderung";BVZ;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"14400,00";;;;;;;;;;"14400,00";;abgeschlossen;
"2024/1";"Zielgruppen-Zeitungsverlags GmbH";"Inhaltsvielfalts-Förderung";ChefInfo;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/1";"Media 21 GmbH";"Inhaltsvielfalts-Förderung";"der Grazer";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"10320,00";;;;;;;;;;"10320,00";;abgeschlossen;
"2024/1";"Wiener Dom-Verlag Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"Der Sonntag";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"6496,00";;;;;;;;;;"6496,00";;abgeschlossen;
"2024/1";"STANDARD Verlagsgesellschaft m.b.H";"Inhaltsvielfalts-Förderung";"DER STANDARD (inklusive Rondo)";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"86506,00";;;;;;;;;;;"86506,00";abgeschlossen;
"2024/1";"Falter - Zeitschriften Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"FALTER Die Wochenzeitung aus Wien.";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"32944,00";;;;;;;;;;"32944,00";;abgeschlossen;
"2024/1";"KURIER Zeitungsverlag und Druckerei Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";freizeit;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/1";"AHVV Verlags GmbH";"Inhaltsvielfalts-Förderung";Heute;Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"163098,00";;;;;;;;;;"108732,00";"54366,00";abgeschlossen;
"2024/1";"Kirchenblatt für die Diözese St. Pölten";"Inhaltsvielfalts-Förderung";"Kirche bunt - St. Pöltner Kirchenzeitung";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"5648,00";;;;;;;;;;"5648,00";;abgeschlossen;
"2024/1";"Kitzbüheler Anzeiger Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"Kitzbüheler Anzeiger";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"3520,00";;;;;;;;;;"3520,00";;abgeschlossen;
"2024/1";"Kleine Zeitung GmbH & Co KG";"Inhaltsvielfalts-Förderung";"Kleine Zeitung";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"193274,00";;;;;;;;;;"193274,00";;abgeschlossen;
"2024/1";"Österreichischer Kommunal-Verlag GmbH";"Inhaltsvielfalts-Förderung";KOMMUNAL;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/1";"KRONE - Verlag Gesellschaft m.b.H. & Co. KG";"Inhaltsvielfalts-Förderung";"Krone Bunt";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/1";"KRONE - Verlag Gesellschaft m.b.H. & Co. KG";"Inhaltsvielfalts-Förderung";"Kronen Zeitung (inklusive Krone bunt)";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"423795,00";;;;;;;;;;"282530,00";"141265,00";abgeschlossen;
"2024/1";"KURIER Zeitungsverlag und Druckerei Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"Kurier (inklusive Freizeit)";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"299055,00";;;;;;;;;;"199370,00";"99685,00";abgeschlossen;
"2024/1";"Mediengruppe ""Österreich"" GmbH";"Inhaltsvielfalts-Förderung";Madonna;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/1";"VGN Medien Holding GmbH";"Inhaltsvielfalts-Förderung";News;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"14040,00";;;;;;;;;;;"14040,00";abgeschlossen;
"2024/1";"SloMedia - Slovenski medijski center - Slowenisches Medienzentrum GmbH";"Inhaltsvielfalts-Förderung";Novice;Volksgruppenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"7200,00";;;;;;;;;;"7200,00";;abgeschlossen;
"2024/1";"Niederösterreichisches Pressehaus Druck- und Verlagsgesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";NÖN;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"94872,00";;;;;;;;;;"94872,00";;abgeschlossen;
"2024/1";"""Obersteirische Rundschau"" Medien GmbH";"Inhaltsvielfalts-Förderung";"Obersteirische Rundschau";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"4800,00";;;;;;;;;;"4800,00";;abgeschlossen;
"2024/1";"Neu-Media GmbH";"Inhaltsvielfalts-Förderung";Oberösterreicherin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"6272,00";;;;;;;;;;"6272,00";;abgeschlossen;
"2024/1";"Osttiroler Bote Medienunternehmen GmbH";"Inhaltsvielfalts-Förderung";"Osttiroler Bote";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"7360,00";;;;;;;;;;"7360,00";;abgeschlossen;
"2024/1";"OÖN Redaktion GmbH & Co KG";"Inhaltsvielfalts-Förderung";OÖNachrichten;Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"97988,70";;;;;;;;;;"97988,70";;abgeschlossen;
"2024/1";"prima! Magazin e.U.";"Inhaltsvielfalts-Förderung";"prima! Magazin";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"3248,00";;;;;;;;;;"3248,00";;abgeschlossen;
"2024/1";"Profil Redaktion GmbH";"Inhaltsvielfalts-Förderung";Profil;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"19336,00";;;;;;;;;;;"19336,00";abgeschlossen;
"2024/1";"Mediengruppe ""Österreich"" GmbH";"Inhaltsvielfalts-Förderung";Reiselust;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
"2024/1";"Oberländer Rundschau GmbH";"Inhaltsvielfalts-Förderung";Rundschau;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"20128,00";;;;;;;;;;"20128,00";;abgeschlossen;
"2024/1";"Ordinariat der Erzdiözese Salzburg";"Inhaltsvielfalts-Förderung";Rupertusblatt;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"5968,00";;;;;;;;;;"5968,00";;abgeschlossen;
"2024/1";"RZ Regionalzeitungs GmbH";"Inhaltsvielfalts-Förderung";"RZ Regionalzeitungen";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"9040,00";;;;;;;;;;"9040,00";;abgeschlossen;
"2024/1";"Salzburger Nachrichten Medien GmbH & Co.KG";"Inhaltsvielfalts-Förderung";"Salzburger Nachrichten";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"91376,00";;;;;;;;;;"91376,00";;abgeschlossen;
"2024/1";"Salzburger Verlagshaus GmbH";"Inhaltsvielfalts-Förderung";"Salzburger Woche";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"32432,00";;;;;;;;;;"32432,00";;abgeschlossen;
"2024/1";"Bischöfliches Ordinariat - Diözese Graz-Seckau";"Inhaltsvielfalts-Förderung";"SONNTAGSBLATT für Steiermark";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"9344,00";;;;;;;;;;"9344,00";;abgeschlossen;
"2024/1";"Die Steirerin Verlags GmbH & Co KG";"Inhaltsvielfalts-Förderung";Steirerin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"7264,00";;;;;;;;;;"7264,00";;abgeschlossen;
"2024/1";"Südwind Verein für Entwicklungspolitik und globale Gerechtigkeit";"Inhaltsvielfalts-Förderung";"Südwind-Magazin";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"1792,00";;;;;;;;;;;"1792,00";abgeschlossen;
"2024/1";"TIPS Zeitungs GmbH & CoKG";"Inhaltsvielfalts-Förderung";TIPS;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"73245,90";;;;;;;;;;"73245,90";;abgeschlossen;
"2024/1";"Schlüsselverlag J.S. Moser GmbH";"Inhaltsvielfalts-Förderung";"Tiroler Tageszeitung (inkl. Beilage top.tirol)";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"105033,00";;;;;;;;;;"105033,00";;abgeschlossen;
"2024/1";"Tirolerin Verlags GmbH";"Inhaltsvielfalts-Förderung";Tirolerin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"9152,00";;;;;;;;;;"9152,00";;abgeschlossen;
"2024/1";"target group publishing gmbh";"Inhaltsvielfalts-Förderung";"top.tirol";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";;;;;;;;;;;;;"Förderung abgelehnt";
