medieninhaber,total_received
Österreichischer Rundfunk,53829223.65
Google Ireland Limited,31278884.91
KRONE - Verlag Gesellschaft m.b.H. & Co. KG.,29731228.25
Meta Platforms Ireland Limited,28679419.53
Gewista-Werbegesellschaft m.b.H.,26402833.07
STANDARD Verlagsgesellschaft m.b.H.,23370884.14
"""Die Presse"" Verlags-Gesellschaft m.b.H. & Co KG",18993144.4
AHVV Verlags GmbH,17280934.88
KURIER Zeitungsverlag und Druckerei Gesellschaft m.b.H.,15681631.68
"Mediengruppe ""Österreich"" GmbH",14724848.6
