rechtstraeger,total_spent
"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz",14135102.44
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",9243084.36
Bundesministerium für Landesverteidigung,8662636.21
Bundesministerium für Inneres,6365491.82
"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",3018773.43
Bundesministerium für Justiz,2411278.55
Bundesministerium für Finanzen,2056646.65
"Bundesministerium für Bildung, Wissenschaft und Forschung",1979444.89
Bundesministerium für europäische und internationale Angelegenheiten,1936890.04
"Bundesministerium für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",1602653.26
"Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",1348060.32
"Bundesministerium für Innovation, Mobilität und Infrastruktur",1313376.73
"Bundesministerium für Wohnen, Kunst, Kultur, Medien und Sport",1165001.25
"Bundesministerium für Land- und Forstwirtschaft, Klima- und Umweltschutz, Regionen und Wasserwirtschaft",1085841.0
"Bundesministerium für Wirtschaft, Energie und Tourismus",979192.22
Bundesministerium für Bildung,902595.88
Bundesministerium für Arbeit und Wirtschaft,815150.64
"Bundesministerium für Frauen, Wissenschaft und Forschung",179472.79
