rechtstraeger,total_spent
Bundesministerium für Finanzen,20813658.51
"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz",18488991.56
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",17448214.4
Bundesministerium für Landesverteidigung,14569372.64
Bundesministerium für Inneres,11160827.01
"Bundesministerium für Bildung, Wissenschaft und Forschung",6613744.55
"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",6550747.63
Bundesministerium für Digitalisierung und Wirtschaftsstandort,4851154.93
"Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",4547655.44
Bundesministerium für europäische und internationale Angelegenheiten,4025625.82
Bundesministerium für Arbeit und Wirtschaft,2256177.52
Bundesministerium für Justiz,182412.47
